Year,Type,Country,Area,Activity,Reference
2017.0,Unprovoked,USA,Florida,Wading,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Veatch.pdf
2017.0,Invalid,SPAIN,Castellón,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.b-Spain.pdf
2017.0,Unprovoked,NEW ZEALAND,North Island,Canoeing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.a-Kensington.pdf
2017.0,Unprovoked,USA,Massachusetts,SUP,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.23-Bigelow.pdf
2017.0,Unprovoked,USA,South Carolina,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.10-Suttle.pdf
2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.05-Schachinger.pdf
2017.0,Provoked,USA,Massachusetts,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.03-Massachusetts.pdf
2017.0,Boating,USA,California,Kayaking / Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.01-Conroy.pdf
2017.0,Unprovoked,USA,Florida,Skimboarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.31.pdf
2017.0,Invalid,USA,South Carolina,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.c-Simatacolos.pdf
2017.0,Unprovoked,BAHAMAS,New Providence District,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.27-Bahamas.pdf
2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.26.R-Massey.pdf
2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.24-Matsu.pdf
2017.0,Unprovoked,SPAIN,Majorca,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.a-Majorca.pdf
2017.0,Invalid,USA,South Carolina,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.c-Rogier.pdf
2017.0,Boating,USA,California,Kayaking,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.b-Jackson.pdf
2017.0,Unprovoked,USA,California,SUP,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.a-Geyling.pdf
2017.0,Unprovoked,USA,Washington,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.b-Washington.pdf
2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.a-Floreat.pdf
2017.0,Boating,USA,California,Kayaking,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.11-Lawson.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.09-Lanza.pdf
2017.0,Provoked,MEXICO,Tabasco,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07.R-Rodriguez.pdf
2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07-Stein.pdf
2017.0,Invalid,COMOROS,Anjouan,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.02-Comoros.pdf
2017.0,Invalid,USA,South Carolina,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.29-Wrightsville.pdf
2017.0,Unprovoked,USA,South Carolina,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.21-Wallhauser.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.19-SingerIsland.pdf
2017.0,Unprovoked,USA,South Carolina,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.18.b-Readnour.pdf
2017.0,Unprovoked,SPAIN,Ibiza Island,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.17-Spain.pdf
2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.05-FrenchPolynesia.pdf
2017.0,Unprovoked,AUSTRALIA,Western Australia,Body boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.11-Goff.pdf
2017.0,Unprovoked,AUSTRALIA,Victoria,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.b-Flinders.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.a-Brock.pdf
2017.0,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.07.R-Thomson.pdf
2017.0,Unprovoked,USA,Florida,Spearfishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.04-Simpson.pdf
2017.0,Unprovoked,BAHAMAS,New Providence ,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.02-Johnson.pdf 
2017.0,Provoked,USA,South Carolina,Touching a shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.30-Higgins.pdf
2017.0,Unprovoked,USA,Florida,Feeding sharks,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.28-Jordan.pdf
2017.0,Invalid,AUSTRALIA,New South Wales,Fishing ,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.27-Selwood.pdf
2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.12-Beloushi.pdf
2017.0,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06.R-Neille.pdf
2017.0,Unprovoked,MEXICO,Baja California Sur,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06-Rozada.pdf
2017.0,Invalid,USA,California,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.03-Raab.pdf
2017.0,Unprovoked,USA,California,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.d-Ericson.pdf
2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.c-Plett.pdf
2017.0,Unprovoked,USA,South Carolina,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.b-Dyar.pdf
2017.0,Unprovoked,REUNION,Saint-Leu,Body boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.a-Dubosc.pdf
2017.0,Unprovoked,NEW ZEALAND,South Island,Body boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.27-NZ.pdf
2017.0,Invalid,USA,Florida,Photo shoot,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.26-Cavelli.pdf
2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.22-Gonsalves.pdf
2017.0,Invalid,USA,South Carolina,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.20-PawleysIsland.pdf
2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.a Brouwer.pdf
2017.0,Unprovoked,USA,Hawaii,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.14-Baboo.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.13-Perry.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.b-Keyton.pdf
2017.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.a-Mairhuber.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.11-Oosterveld.pdf 
2017.0,Unprovoked,USA,Florida,Paddle boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.b-Melbourne.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.a-Orr.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.07-Stephens.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.05-NSB.pdf
2017.0,Unprovoked,AUSTRALIA,Queensland,Kakaying,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.b-Kleiden.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.a-Taylor.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.27-NSB.pdf
2017.0,Unprovoked,AUSTRALIA,New South Wales,Body boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.19-Fernandez.pdf
2017.0,Boating,USA,California,Kayaking,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.18-Correira.pdf
2017.0,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.11-Reintegrado.pdf
2017.0,Unprovoked,BAHAMAS,Great Exuma,Washing hands,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.09-Keywood.pdf
2017.0,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.25-WesternAustralia.pdf
2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.24-Mandurah
2017.0,Unprovoked,REUNION,Saint-Andre,Body boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.21-Naussance.pdf
